timestamp,slice_id,node_id,node_type,cpu,memory,latency_ms,packet_loss,throughput_mbps,prb_utilization,fault_label,fault_type
2026-05-09T06:00:00+00:00,slice_1,gnb_1,gNB,53.14,49.97,21.15,0.000467,564.2,0.358,0,
2026-05-09T06:00:00+00:00,slice_1,upf_1,UPF,48.03,49.57,23.75,0.005734,535.87,0.3696,0,
2026-05-09T06:00:00+00:00,slice_1,router_1,Router,55.59,53.81,18.96,0.000366,573.89,0.289,0,
2026-05-09T06:00:00+00:00,slice_1,app_1,Service,48.05,48.59,18.76,0.005801,512.54,0.281,0,
2026-05-09T06:00:00+00:00,slice_2,gnb_2,gNB,55.88,49.68,45.87,0.001894,349.27,0.4472,0,
2026-05-09T06:00:00+00:00,slice_2,upf_2,UPF,56.63,53.42,42.36,0.000303,318.07,0.3868,0,
2026-05-09T06:00:00+00:00,slice_3,gnb_3,gNB,51.3,48.09,10.42,0.002565,459.11,0.2943,0,
2026-05-09T06:00:00+00:00,slice_3,upf_3,UPF,50.65,54.98,10.27,0.001319,439.61,0.2873,0,
2026-05-09T06:20:00+00:00,slice_1,gnb_1,gNB,55.97,58.16,21.84,0.002647,566.31,0.4076,0,
2026-05-09T06:20:00+00:00,slice_1,upf_1,UPF,59.15,51.94,19.33,0.002665,580.87,0.3845,0,
2026-05-09T06:20:00+00:00,slice_1,router_1,Router,59.37,54.62,19.46,0.001044,594.05,0.3922,0,
2026-05-09T06:20:00+00:00,slice_1,app_1,Service,61.05,49.5,23.96,0.001616,594.21,0.3585,0,
2026-05-09T06:20:00+00:00,slice_2,gnb_2,gNB,52.12,55.17,48.81,0.003139,354.2,0.4276,0,
2026-05-09T06:20:00+00:00,slice_2,upf_2,UPF,50.01,51.98,45.99,0.00162,297.18,0.4336,0,
2026-05-09T06:20:00+00:00,slice_3,gnb_3,gNB,58.01,54.78,9.1,0.003488,483.79,0.255,0,
2026-05-09T06:20:00+00:00,slice_3,upf_3,UPF,53.98,53.07,14.56,0.004706,437.46,0.2399,0,
2026-05-09T06:40:00+00:00,slice_1,gnb_1,gNB,63.04,50.9,23.21,0.002113,631.67,0.4033,0,
2026-05-09T06:40:00+00:00,slice_1,upf_1,UPF,60.47,55.7,22.98,0.001261,667.67,0.3634,0,
2026-05-09T06:40:00+00:00,slice_1,router_1,Router,64.19,55.75,22.29,0.000784,625.71,0.3974,0,
2026-05-09T06:40:00+00:00,slice_1,app_1,Service,63.86,55.54,21.96,0.000887,661.19,0.4111,0,
2026-05-09T06:40:00+00:00,slice_2,gnb_2,gNB,59.27,56.95,44.79,0.004419,339.26,0.4588,0,
2026-05-09T06:40:00+00:00,slice_2,upf_2,UPF,60.52,59.98,48.37,0.003829,338.6,0.5535,0,
2026-05-09T06:40:00+00:00,slice_3,gnb_3,gNB,62.2,50.59,12.87,0.004422,550.32,0.3737,0,
2026-05-09T06:40:00+00:00,slice_3,upf_3,UPF,60.63,59.79,9.42,0.004131,521.76,0.3725,0,
2026-05-09T07:00:00+00:00,slice_1,gnb_1,gNB,65.67,53.63,26.29,0.005273,749.88,0.4636,0,
2026-05-09T07:00:00+00:00,slice_1,upf_1,UPF,58.98,52.0,23.97,0.005044,728.68,0.4484,0,
2026-05-09T07:00:00+00:00,slice_1,router_1,Router,59.15,61.51,20.72,0.00221,677.4,0.4332,0,
2026-05-09T07:00:00+00:00,slice_1,app_1,Service,57.85,56.6,22.06,0.003512,739.87,0.4163,0,
2026-05-09T07:00:00+00:00,slice_2,gnb_2,gNB,56.02,59.01,46.76,0.000883,400.74,0.5194,0,
2026-05-09T07:00:00+00:00,slice_2,upf_2,UPF,62.88,54.01,50.89,0.001897,433.78,0.5536,0,
2026-05-09T07:00:00+00:00,slice_3,gnb_3,gNB,60.38,58.06,15.23,0.003489,517.01,0.381,0,
2026-05-09T07:00:00+00:00,slice_3,upf_3,UPF,62.61,54.99,10.97,0.002606,547.64,0.3069,0,
2026-05-09T07:20:00+00:00,slice_1,gnb_1,gNB,66.03,63.51,22.31,0.004493,801.5,0.5199,0,
2026-05-09T07:20:00+00:00,slice_1,upf_1,UPF,70.38,57.72,25.17,0.003141,782.6,0.4903,0,
2026-05-09T07:20:00+00:00,slice_1,router_1,Router,63.71,55.02,25.46,0.001082,714.71,0.5112,0,
2026-05-09T07:20:00+00:00,slice_1,app_1,Service,70.16,56.54,26.26,0.004311,773.36,0.5059,0,
2026-05-09T07:20:00+00:00,slice_2,gnb_2,gNB,64.77,56.21,51.13,0.00098,462.06,0.6439,0,
2026-05-09T07:20:00+00:00,slice_2,upf_2,UPF,63.03,59.95,52.03,0.002772,400.73,0.6395,0,
2026-05-09T07:20:00+00:00,slice_3,gnb_3,gNB,59.27,62.15,15.16,0.004176,568.67,0.3409,0,
2026-05-09T07:20:00+00:00,slice_3,upf_3,UPF,66.57,59.84,12.79,0.000818,586.36,0.3688,0,
2026-05-09T07:40:00+00:00,slice_1,gnb_1,gNB,69.7,61.76,25.25,0.004596,821.47,0.4587,0,
2026-05-09T07:40:00+00:00,slice_1,upf_1,UPF,68.52,59.76,26.48,0.003465,779.06,0.4608,0,
2026-05-09T07:40:00+00:00,slice_1,router_1,Router,65.65,56.48,25.78,0.002771,814.84,0.509,0,
2026-05-09T07:40:00+00:00,slice_1,app_1,Service,71.01,56.2,25.61,0.00173,840.33,0.4441,0,
2026-05-09T07:40:00+00:00,slice_2,gnb_2,gNB,71.43,64.11,49.29,0.003936,456.48,0.5673,0,
2026-05-09T07:40:00+00:00,slice_2,upf_2,UPF,68.74,62.94,50.46,0.003977,448.84,0.6287,0,
