timestamp,slice_id,node_id,node_type,cpu,memory,latency_ms,packet_loss,throughput_mbps,prb_utilization,fault_label,fault_type,source
2026-05-10T11:29:04+00:00,slice_1,gnb_1,gNB,59.97,72.063,19.866,0.00222,564.243,0.731794,0,,realistic_cascade_failure
2026-05-10T11:29:04+00:00,slice_2,upf_2,UPF,48.463,51.176,31.453,0.00313,317.882,0.539855,0,,realistic_cascade_failure
2026-05-10T11:29:04+00:00,slice_3,router_3,Router,45.183,58.463,18.047,0.004023,406.987,0.83169,0,,realistic_cascade_failure
2026-05-10T11:29:04+00:00,slice_1,service_4,Service,52.641,48.554,23.799,0.004379,497.121,0.787099,0,,realistic_cascade_failure
2026-05-10T11:29:04+00:00,slice_2,amf_5,AMF,64.271,54.288,35.954,0.003927,137.409,0.791635,0,,realistic_cascade_failure
2026-05-10T11:29:04+00:00,slice_3,smf_6,SMF,47.92,36.492,13.843,0.004094,425.369,0.738985,0,,realistic_cascade_failure
2026-05-10T11:29:04+00:00,slice_1,gnb_7,gNB,58.265,61.944,22.779,0.005716,509.844,0.780994,0,,realistic_cascade_failure
2026-05-10T11:29:04+00:00,slice_2,upf_8,UPF,57.97,57.343,32.496,0.002108,145.442,0.683743,0,,realistic_cascade_failure
2026-05-10T11:30:04+00:00,slice_1,gnb_1,gNB,65.17,58.158,22.306,0.003495,565.687,0.785853,0,,realistic_cascade_failure
2026-05-10T11:30:04+00:00,slice_2,upf_2,UPF,47.621,45.725,29.216,0.005209,271.028,0.548106,0,,realistic_cascade_failure
2026-05-10T11:30:04+00:00,slice_3,router_3,Router,60.439,62.06,11.969,0.00226,267.271,0.759339,0,,realistic_cascade_failure
2026-05-10T11:30:04+00:00,slice_1,service_4,Service,67.394,52.482,43.727,0.020902,730.493,0.976532,0,,realistic_cascade_failure
2026-05-10T11:30:04+00:00,slice_2,amf_5,AMF,48.754,65.163,31.933,0.005955,109.617,0.731207,0,,realistic_cascade_failure
2026-05-10T11:30:04+00:00,slice_3,smf_6,SMF,46.675,54.257,10.322,0.006166,262.012,0.684251,0,,realistic_cascade_failure
2026-05-10T11:30:04+00:00,slice_1,gnb_7,gNB,46.817,57.047,19.477,0.002833,416.744,0.685404,0,,realistic_cascade_failure
2026-05-10T11:30:04+00:00,slice_2,upf_8,UPF,46.243,43.946,31.248,0.003375,255.648,0.559141,0,,realistic_cascade_failure
2026-05-10T11:31:04+00:00,slice_1,gnb_1,gNB,56.801,57.624,17.148,0.002577,632.642,0.727841,0,,realistic_cascade_failure
2026-05-10T11:31:04+00:00,slice_2,upf_2,UPF,49.148,53.274,30.185,0.00439,275.976,0.704352,0,,realistic_cascade_failure
2026-05-10T11:31:04+00:00,slice_3,router_3,Router,48.839,62.239,14.358,0.006496,460.853,0.745424,0,,realistic_cascade_failure
2026-05-10T11:31:04+00:00,slice_1,service_4,Service,60.625,59.372,18.849,0.002431,519.444,0.73201,0,,realistic_cascade_failure
2026-05-10T11:31:04+00:00,slice_2,amf_5,AMF,45.906,44.274,30.034,0.002575,243.282,0.682768,0,,realistic_cascade_failure
2026-05-10T11:31:04+00:00,slice_3,smf_6,SMF,64.067,60.825,10.492,0.002884,446.426,0.735137,0,,realistic_cascade_failure
2026-05-10T11:31:04+00:00,slice_1,gnb_7,gNB,40.499,58.203,17.852,0.003953,596.952,0.737161,0,,realistic_cascade_failure
2026-05-10T11:31:04+00:00,slice_2,upf_8,UPF,54.458,58.856,31.348,0.004099,370.196,0.691155,0,,realistic_cascade_failure
2026-05-10T11:32:04+00:00,slice_1,gnb_1,gNB,56.418,56.744,29.893,0.010767,615.34,0.876759,0,,realistic_cascade_failure
2026-05-10T11:32:04+00:00,slice_2,upf_2,UPF,37.919,49.012,30.98,0.002615,133.518,0.617532,0,,realistic_cascade_failure
2026-05-10T11:32:04+00:00,slice_3,router_3,Router,54.341,53.369,15.113,0.004824,419.512,0.809483,0,,realistic_cascade_failure
2026-05-10T11:32:04+00:00,slice_1,service_4,Service,54.276,52.078,25.961,0.002603,423.133,0.79716,0,,realistic_cascade_failure
2026-05-10T11:32:04+00:00,slice_2,amf_5,AMF,57.146,47.017,39.897,0.003037,424.251,0.821976,0,,realistic_cascade_failure
