timestamp,slice_id,node_id,node_type,fault_type,source,cpu,memory,latency_ms,packet_loss,throughput_mbps,prb_utilization,fault_label
2026-05-10T07:35:00+00:00,slice_2,gnb_2,gNB,,copulagan_fallback_stress,56.75389,49.60661,19.0631,0.04321,754.55039,0.32074,0
2026-05-10T07:36:00+00:00,slice_3,gnb_3,UPF,,copulagan_fallback_stress,58.31389,57.39023,27.80793,0.01343,666.81593,0.34755,0
2026-05-10T07:37:00+00:00,slice_1,gnb_3,gNB,,copulagan_fallback_stress,59.08949,39.04987,25.63529,0.00312,781.63356,0.4396,0
2026-05-10T07:38:00+00:00,slice_1,app_1,gNB,,copulagan_fallback_stress,54.65284,46.63583,32.38127,3e-05,568.97033,0.63664,0
2026-05-10T07:39:00+00:00,slice_2,gnb_3,UPF,,copulagan_fallback_stress,61.53234,68.80854,29.99798,3e-05,700.66769,0.45863,0
2026-05-10T07:40:00+00:00,slice_1,upf_2,Router,vnf_degradation,copulagan_fallback_stress,67.33425,68.4029,41.21581,9e-05,322.64899,1,1
2026-05-10T07:41:00+00:00,slice_1,gnb_1,gNB,congestion,copulagan_fallback_stress,88.04133,85.94946,9.89064,8e-05,32.23641,1,1
2026-05-10T07:42:00+00:00,slice_1,app_1,Service,,copulagan_fallback_stress,75.34342,57.12183,7.31,0.00692,646.59475,0.42783,0
2026-05-10T07:43:00+00:00,slice_2,upf_2,UPF,latency_spike,copulagan_fallback_stress,60.05674,99,55.77139,0.0001,266.49838,1,1
2026-05-10T07:44:00+00:00,slice_1,upf_2,Service,packet_loss,copulagan_fallback_stress,93.25078,75.0132,41.43025,0.0001,316.52813,1,1
2026-05-10T07:45:00+00:00,slice_1,upf_1,gNB,,copulagan_fallback_stress,64.28653,48.52991,28.14502,3e-05,477.26529,0.34868,0
2026-05-10T07:46:00+00:00,slice_2,router_1,Router,congestion,copulagan_fallback_stress,40.17193,99,11.86603,7e-05,286.5858,0.90755,1
2026-05-10T07:47:00+00:00,slice_1,gnb_3,gNB,,copulagan_fallback_stress,35.09589,43.05908,19.6121,3e-05,465.28843,0.17063,0
2026-05-10T07:48:00+00:00,slice_1,router_1,UPF,,copulagan_fallback_stress,30.65153,37.36,16.37147,0.03933,939.33,0.31769,0
2026-05-10T07:49:00+00:00,slice_3,app_1,UPF,,copulagan_fallback_stress,49.80181,55.18129,27.26866,3e-05,939.33,0.40262,0
2026-05-10T07:50:00+00:00,slice_3,router_1,Service,,copulagan_fallback_stress,46.72664,52.61936,23.34711,3e-05,548.38643,0.0566,0
2026-05-10T07:51:00+00:00,slice_1,upf_2,Router,,copulagan_fallback_stress,77.63584,59.81157,41.10813,3e-05,485.89907,0.47055,0
2026-05-10T07:52:00+00:00,slice_2,gnb_2,UPF,,copulagan_fallback_stress,75.61616,52.64287,16.44696,3e-05,531.32924,0.13776,0
2026-05-10T07:53:00+00:00,slice_1,upf_2,UPF,congestion,copulagan_fallback_stress,76.04756,99,13.03229,0.05709,278.35121,1,1
2026-05-10T07:54:00+00:00,slice_1,gnb_3,UPF,,copulagan_fallback_stress,64.18075,58.94463,22.07198,3e-05,761.67244,0.49338,0
2026-05-10T07:55:00+00:00,slice_1,upf_3,gNB,,copulagan_fallback_stress,63.41332,52.40657,26.8421,3e-05,306.27163,0.33298,0
2026-05-10T07:56:00+00:00,slice_1,gnb_1,UPF,,copulagan_fallback_stress,43.99281,46.64848,37.80931,3e-05,0.0,0.52109,0
2026-05-10T07:57:00+00:00,slice_3,gnb_1,gNB,,copulagan_fallback_stress,48.65844,54.98317,39.12223,3e-05,446.99258,0.26966,0
2026-05-10T07:58:00+00:00,slice_3,upf_1,gNB,,copulagan_fallback_stress,68.37916,54.93093,23.67485,0.00049,271.52408,0.47236,0
2026-05-10T07:59:00+00:00,slice_1,upf_3,gNB,,copulagan_fallback_stress,68.06739,54.11818,21.63229,0.0123,434.75181,0.3134,0
2026-05-10T08:00:00+00:00,slice_3,router_1,UPF,,copulagan_fallback_stress,64.50605,59.31116,26.48377,0.01893,536.03762,0.21704,0
2026-05-10T08:01:00+00:00,slice_2,gnb_1,Service,,copulagan_fallback_stress,39.72543,55.65949,29.21849,0.02143,390.98449,0.45843,0
2026-05-10T08:02:00+00:00,slice_3,upf_3,UPF,,copulagan_fallback_stress,72.3865,55.98037,21.21265,0.01811,704.43623,0.06427,0
2026-05-10T08:03:00+00:00,slice_3,upf_1,Service,,copulagan_fallback_stress,45.95127,53.02628,17.66392,3e-05,602.39741,0.26169,0
2026-05-10T08:04:00+00:00,slice_2,upf_3,gNB,,copulagan_fallback_stress,80.71004,56.78855,22.85664,0.0297,760.7963,0.38773,0
2026-05-10T08:05:00+00:00,slice_1,upf_1,Service,,copulagan_fallback_stress,56.0705,62.33735,7.31,0.002,352.48993,0.12847,0
2026-05-10T08:06:00+00:00,slice_3,upf_2,UPF,,copulagan_fallback_stress,45.63408,48.19215,31.65999,0.0354,363.15565,0.21521,0
2026-05-10T08:07:00+00:00,slice_2,upf_3,gNB,,copulagan_fallback_stress,60.93209,44.69543,7.31,0.02768,570.93209,0.30753,0
2026-05-10T08:08:00+00:00,slice_1,gnb_2,gNB,,copulagan_fallback_stress,54.0633,45.80082,14.86985,0.01218,523.87707,0.4568,0
2026-05-10T08:09:00+00:00,slice_3,app_1,gNB,,copulagan_fallback_stress,58.00897,63.39284,39.18374,0.0337,478.34496,0.36014,0
2026-05-10T08:10:00+00:00,slice_1,upf_3,Service,,copulagan_fallback_stress,75.46044,57.2704,31.8858,3e-05,639.56707,0.31904,0
2026-05-10T08:11:00+00:00,slice_1,upf_1,UPF,,copulagan_fallback_stress,80.93623,52.19231,15.22404,0.02183,647.65938,0.11558,0
2026-05-10T08:12:00+00:00,slice_1,upf_3,gNB,,copulagan_fallback_stress,55.84159,55.38805,36.51176,3e-05,576.72932,0.4515,0
2026-05-10T08:13:00+00:00,slice_1,upf_2,UPF,,copulagan_fallback_stress,55.65023,59.04527,32.1817,0.04889,629.82589,0.1742,0
2026-05-10T08:14:00+00:00,slice_1,app_1,gNB,,copulagan_fallback_stress,57.9804,54.3434,13.15911,0.00128,434.98671,0.13622,0
2026-05-10T08:15:00+00:00,slice_3,gnb_3,UPF,,copulagan_fallback_stress,49.9241,56.3754,41.03833,0.02718,439.40393,0.48039,0
2026-05-10T08:16:00+00:00,slice_1,upf_1,gNB,vnf_degradation,copulagan_fallback_stress,99,62.05924,25.88317,0.05818,170.11357,1,1
2026-05-10T08:17:00+00:00,slice_1,upf_1,gNB,,copulagan_fallback_stress,54.84629,46.57866,27.02837,3e-05,283.1792,0.11227,0
2026-05-10T08:18:00+00:00,slice_1,gnb_3,gNB,,copulagan_fallback_stress,43.74109,55.63058,31.66174,0.00452,312.58188,0.29747,0
2026-05-10T08:19:00+00:00,slice_3,app_1,gNB,congestion,copulagan_fallback_stress,99,66.59543,49.49894,8e-05,180.55678,1,1
2026-05-10T08:20:00+00:00,slice_2,app_1,Router,,copulagan_fallback_stress,51.82882,61.83142,25.94957,3e-05,409.73294,0.53541,0
2026-05-10T08:21:00+00:00,slice_1,app_1,gNB,,copulagan_fallback_stress,46.68384,39.54546,39.41656,3e-05,327.44639,0.42324,0
